time,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lead10,lead11,lead12
0.0,0.07505644721298672,-0.017764837649408838,-0.11065364381170842,0.06919037605184054,-0.06199624387269749,-0.006297235694358829,-0.05036810179235447,-0.07176701512023595,-0.006974271381298113,0.07992376091245683,0.054896854419782405,-0.033110007980489485
0.005005005005005005,0.19514367915835243,0.15300132568608898,0.1701815090508112,0.23083331342137844,0.2283388430918903,0.24269840961153635,0.2595484325577151,0.15810737720200557,0.14948706071816875,0.19463659782005546,0.17776574890817748,0.18633260751377775
0.01001001001001001,0.327422958566937,0.24393669872098375,0.3042596787557145,0.2768947855263023,0.25109510183452743,0.2626868769350523,0.3167864519474046,0.23072341632169652,0.3228887129925997,0.3379303254147724,0.3791478985479017,0.29626098926814315
0.015015015015015015,0.31358392283698905,0.3168167701295263,0.3454428583619874,0.3329821525445042,0.36385395219019473,0.23766641837324548,0.31524833433649235,0.3851966501075525,0.37879114451701296,0.37107987174173945,0.3891410407031757,0.4144004193889491
0.02002002002002002,0.43400150120468933,0.37091637459240456,0.4715647628045835,0.30042358230818694,0.46551627560480785,0.4636788554440293,0.35765331853968085,0.45383585206417426,0.30976111332271006,0.47380895397301936,0.3636524393990745,0.3774175149329484
0.025025025025025023,0.5229112141620725,0.36967568650641097,0.4763370357136856,0.5416794521957293,0.50823601008618,0.4827237649133766,0.5519053127081246,0.5450536630127646,0.4270660655958784,0.45417403962990055,0.4756950723614022,0.41101965309138877
0.03003003003003003,0.5156883248778501,0.5880608707278662,0.46620751784351333,0.5232191462778004,0.49874608977584617,0.43145377514134897,0.4068246881884734,0.4178569510488007,0.4838027720410014,0.48396934189303575,0.48447059926417857,0.5460127843224127
0.035035035035035036,0.5493649029902029,0.5725296459565745,0.5035906921671053,0.5183002124214707,0.6060506985625645,0.5443534601975014,0.48269958322621265,0.5931407884055608,0.5456816225391725,0.5111516672497931,0.5632470073342335,0.5857902316565475
0.04004004004004004,0.542067842792166,0.5544148302370219,0.6633535537811798,0.6197378342126278,0.5995043394747721,0.5772280474296557,0.5835410736952324,0.5012373244156442,0.622331642449342,0.49934818945981857,0.5256022068103559,0.5014872111933819
0.04504504504504504,0.5173414619999297,0.6446523064921328,0.5097228685485148,0.6024596148873099,0.6168393625925341,0.6044996976152447,0.5679621777870042,0.6201538527940292,0.5740357958170725,0.567644352666725,0.5707289728623893,0.58941754603635
0.050050050050050046,0.7025986576796927,0.7251048558972535,0.6443836388782707,0.6695032485587806,0.6935534246860995,0.6111361267246236,0.5663851705856389,0.6422955984578137,0.6196122256139118,0.7697580667887927,0.7145003614173883,0.619095320414431
0.055055055055055056,0.7266970277871081,0.5878882189704367,0.7161764491859688,0.6741266383965253,0.6209812005459676,0.6916964837623736,0.6936913683473662,0.6905377702328351,0.6713319836495464,0.6600070709443328,0.6543987632741881,0.5920120757797653
0.06006006006006006,0.6811119022600154,0.67783752958519,0.7203550342385958,0.7184564128092029,0.7128894456581467,0.7443006625966834,0.730749401683946,0.7480889149845698,0.7644285720741326,0.722491687450473,0.678870441578529,0.7530880223908643
