-0.099,-0.136,-0.037,0.118,-0.031,-0.086,0.252,0.197,-0.222,-0.393,-0.386,-0.22
-0.043,0.017,0.06,0.013,-0.052,0.038,0.255,0.225,-0.093,-0.276,-0.283,-0.131
0.341,0.441,0.1,-0.391,0.12,0.27,-0.186,-0.242,0.363,0.25,0.194,0.303
0.636,1.147,0.511,-0.892,0.062,0.829,-0.891,-1.199,0.999,1.08,0.985,1.033
0.481,0.998,0.517,-0.739,-0.018,0.757,-0.923,-1.371,0.802,0.925,0.883,1.003
0.13,-0.089,-0.219,-0.02,0.174,-0.154,-0.569,-1.047,-0.376,-0.321,-0.214,0.087
-0.054,-0.302,-0.249,0.178,0.098,-0.275,-0.259,-0.65,-0.543,-0.536,-0.471,-0.218
-0.05,-0.151,-0.101,0.1,0.026,-0.126,-0.059,-0.317,-0.239,-0.341,-0.337,-0.155
-0.016,-0.12,-0.104,0.068,0.044,-0.111,-0.037,-0.211,-0.249,-0.359,-0.335,-0.159
-0.014,-0.048,-0.035,0.031,0.01,-0.041,-0.028,-0.153,-0.186,-0.294,-0.284,-0.127
-0.015,-0.056,-0.041,0.035,0.013,-0.048,-0.02,-0.136,-0.189,-0.308,-0.305,-0.136
-0.014,-0.03,-0.017,0.022,0.002,-0.023,-0.019,-0.119,-0.165,-0.276,-0.277,-0.112
0.0,-0.026,-0.026,0.013,0.013,-0.025,-0.015,-0.103,-0.166,-0.285,-0.282,-0.118
-0.002,-0.017,-0.014,0.01,0.006,-0.015,-0.013,-0.091,-0.158,-0.27,-0.27,-0.114
0.003,-0.007,-0.01,0.002,0.007,-0.009,-0.009,-0.085,-0.149,-0.265,-0.267,-0.115
0.042,0.025,-0.017,-0.034,0.03,0.004,-0.009,-0.081,-0.148,-0.262,-0.266,-0.116
0.053,0.022,-0.031,-0.037,0.041,-0.004,-0.003,-0.073,-0.135,-0.25,-0.258,-0.113
0.04,0.012,-0.027,-0.026,0.033,-0.007,0.0,-0.07,-0.132,-0.245,-0.258,-0.109
0.031,0.013,-0.018,-0.021,0.024,-0.002,0.003,-0.053,-0.12,-0.233,-0.252,-0.099
0.043,0.029,-0.014,-0.036,0.028,0.008,0.008,-0.029,-0.116,-0.228,-0.247,-0.095
0.058,0.053,-0.005,-0.056,0.031,0.024,0.01,0.004,-0.103,-0.213,-0.238,-0.086
0.031,0.036,0.005,-0.033,0.013,0.02,0.0,0.03,-0.079,-0.204,-0.227,-0.079
0.037,0.057,0.02,-0.048,0.008,0.039,-0.008,0.073,-0.046,-0.176,-0.207,-0.066
0.07,0.101,0.031,-0.086,0.02,0.066,0.001,0.15,-0.003,-0.135,-0.17,-0.058
0.077,0.122,0.046,-0.1,0.015,0.084,0.008,0.238,0.05,-0.095,-0.138,-0.034
0.099,0.171,0.072,-0.135,0.013,0.121,0.014,0.338,0.128,-0.039,-0.105,0.01
0.135,0.221,0.086,-0.178,0.024,0.153,0.009,0.438,0.211,0.03,-0.04,0.062
