-0.001,-0.585,-0.584,0.293,0.292,-0.584,0.169,0.408,0.047,0.031,0.023,0.052
-0.043,-0.463,-0.42,0.253,0.188,-0.441,0.246,0.47,0.146,0.06,0.039,0.053
-0.029,-0.013,0.016,0.021,-0.023,0.002,0.198,0.303,0.664,0.522,0.356,0.241
-0.026,0.545,0.571,-0.26,-0.299,0.558,-0.106,-0.285,1.385,1.277,0.907,0.577
-0.336,0.182,0.518,0.077,-0.427,0.35,-0.255,-1.34,-0.648,0.0,0.405,0.395
-0.492,-0.566,-0.074,0.529,-0.208,-0.32,-0.188,-1.609,-2.024,-1.058,-0.278,0.02
-0.378,-0.771,-0.393,0.575,0.008,-0.581,-0.211,-1.137,-1.247,-0.718,-0.304,-0.086
-0.223,-0.8,-0.577,0.512,0.177,-0.688,-0.169,-0.661,-0.886,-0.543,-0.265,-0.089
-0.11,-0.696,-0.587,0.403,0.239,-0.641,-0.036,-0.226,-0.417,-0.252,-0.126,-0.026
-0.087,-0.524,-0.437,0.306,0.175,-0.48,0.07,-0.016,-0.156,-0.082,-0.026,0.036
-0.024,-0.411,-0.387,0.218,0.182,-0.399,0.094,0.078,-0.073,-0.018,0.026,0.077
-0.014,-0.384,-0.37,0.199,0.178,-0.377,0.073,0.14,0.01,0.026,0.052,0.088
-0.006,-0.37,-0.363,0.188,0.179,-0.366,0.065,0.185,0.011,0.02,0.042,0.083
0.015,-0.33,-0.345,0.157,0.18,-0.337,0.062,0.218,0.065,0.054,0.055,0.087
-0.002,-0.335,-0.333,0.169,0.166,-0.334,0.067,0.237,0.079,0.066,0.048,0.083
0.0,-0.321,-0.321,0.161,0.16,-0.321,0.063,0.28,0.141,0.096,0.062,0.086
-0.014,-0.318,-0.304,0.166,0.145,-0.311,0.067,0.305,0.172,0.112,0.076,0.09
0.01,-0.301,-0.311,0.146,0.161,-0.306,0.063,0.356,0.259,0.166,0.102,0.109
0.017,-0.282,-0.3,0.133,0.159,-0.291,0.063,0.421,0.34,0.214,0.129,0.123
0.04,-0.239,-0.279,0.099,0.16,-0.259,0.066,0.457,0.433,0.281,0.166,0.138
0.091,-0.175,-0.266,0.042,0.179,-0.22,0.034,0.477,0.56,0.373,0.216,0.165
0.092,-0.142,-0.234,0.025,0.164,-0.188,0.006,0.517,0.654,0.439,0.251,0.184
0.122,-0.095,-0.217,-0.013,0.17,-0.156,-0.01,0.545,0.74,0.509,0.296,0.211
0.172,-0.042,-0.215,-0.065,0.193,-0.128,-0.012,0.544,0.774,0.556,0.343,0.235
0.173,-0.009,-0.182,-0.081,0.178,-0.096,-0.01,0.537,0.752,0.559,0.346,0.234
0.136,-0.005,-0.141,-0.066,0.139,-0.073,-0.007,0.515,0.669,0.507,0.33,0.229
0.109,-0.03,-0.139,-0.039,0.124,-0.085,0.022,0.494,0.497,0.395,0.284,0.21
0.062,-0.087,-0.149,0.013,0.106,-0.118,0.073,0.42,0.324,0.273,0.203,0.153
