index,y_true,y_prob_pos,margin
21,1,0.41635429859161377,0.08364570140838623
96,1,0.330814003944397,0.16918599605560303
51,1,0.17567120492458344,0.32432879507541656
1,1,0.14603941142559052,0.3539605885744095
31,1,0.1267741322517395,0.3732258677482605
16,1,0.03114578314125538,0.4688542168587446
46,1,0.019870489835739136,0.48012951016426086
26,1,0.012030303478240967,0.48796969652175903
71,1,0.008707392029464245,0.49129260797053576
66,1,0.006792278494685888,0.4932077215053141
76,1,0.004414800554513931,0.49558519944548607
11,1,0.0021997345611453056,0.4978002654388547
41,1,0.0017234442057088017,0.4982765557942912
36,1,0.001213694573380053,0.49878630542661995
61,1,0.0010235958034172654,0.49897640419658273
56,1,0.0009593676077201962,0.4990406323922798
81,1,0.0007640645490027964,0.4992359354509972
91,1,0.00017847483104560524,0.4998215251689544
