index,y_true,y_prob_pos,margin
25,1,0.29915478825569153,0.20084521174430847
15,1,0.27630099654197693,0.22369900345802307
5,1,0.07260272651910782,0.4273972734808922
45,1,0.0476432628929615,0.4523567371070385
75,1,0.04127844423055649,0.4587215557694435
10,1,0.03622199222445488,0.4637780077755451
30,1,0.035700004547834396,0.4642999954521656
95,1,0.02292909286916256,0.47707090713083744
40,1,0.014733904041349888,0.4852660959586501
85,1,0.014185303822159767,0.48581469617784023
35,1,0.013840424828231335,0.48615957517176867
70,1,0.010089966468513012,0.489910033531487
55,1,0.008943328633904457,0.49105667136609554
20,1,0.008469349704682827,0.4915306502953172
60,1,0.008377558551728725,0.4916224414482713
65,1,0.008102220483124256,0.49189777951687574
0,1,0.00753725366666913,0.49246274633333087
80,1,0.00538346404209733,0.49461653595790267
50,1,0.004102026578038931,0.49589797342196107
90,1,0.0020250952802598476,0.49797490471974015
