index,y_true,y_prob_pos,margin
96,0,0.5558260679244995,0.05582606792449951
5,0,0.6297307014465332,0.1297307014465332
15,0,0.6549934148788452,0.15499341487884521
54,0,0.6882196068763733,0.1882196068763733
1,0,0.6920878887176514,0.19208788871765137
35,0,0.6940649151802063,0.1940649151802063
87,0,0.7308245301246643,0.2308245301246643
7,0,0.7624947428703308,0.2624947428703308
99,0,0.7723942399024963,0.27239423990249634
74,0,0.7914887070655823,0.2914887070655823
2,0,0.797814667224884,0.29781466722488403
34,0,0.8060510754585266,0.3060510754585266
94,0,0.80698561668396,0.30698561668395996
41,0,0.8133649230003357,0.3133649230003357
14,0,0.8335050344467163,0.3335050344467163
66,0,0.8436066508293152,0.3436066508293152
71,0,0.845068097114563,0.345068097114563
55,0,0.8688900470733643,0.36889004707336426
79,0,0.8935346603393555,0.39353466033935547
46,0,0.9266836047172546,0.42668360471725464
59,0,0.9314324259757996,0.43143242597579956
70,0,0.9331974387168884,0.4331974387168884
45,0,0.9335328936576843,0.4335328936576843
26,0,0.9400625824928284,0.44006258249282837
12,0,0.9455288648605347,0.44552886486053467
32,0,0.9456788301467896,0.44567883014678955
92,0,0.9478321075439453,0.4478321075439453
75,0,0.9499571323394775,0.44995713233947754
4,0,0.9528598189353943,0.4528598189353943
0,0,0.9547670483589172,0.45476704835891724
24,0,0.957597553730011,0.457597553730011
10,0,0.9595244526863098,0.4595244526863098
30,0,0.9615172147750854,0.46151721477508545
77,0,0.9637451171875,0.4637451171875
69,0,0.9648110866546631,0.4648110866546631
36,0,0.9741671681404114,0.4741671681404114
52,0,0.9748125672340393,0.4748125672340393
82,0,0.9773830771446228,0.4773830771446228
57,0,0.9801545739173889,0.4801545739173889
85,0,0.9814354181289673,0.4814354181289673
11,0,0.9814877510070801,0.4814877510070801
42,0,0.9825623035430908,0.4825623035430908
50,0,0.9835339188575745,0.48353391885757446
60,0,0.9852982759475708,0.4852982759475708
80,0,0.9859458804130554,0.4859458804130554
56,0,0.9861419796943665,0.48614197969436646
20,0,0.9875730276107788,0.4875730276107788
65,0,0.9890535473823547,0.48905354738235474
90,0,0.9919288158416748,0.4919288158416748
91,0,0.9927266836166382,0.4927266836166382
